matrikelnummer,firstname,name,projects,negatives,skill,programing_skills
0,Firstname,Name,"['Projekt 54', 'Projekt 22', 'Projekt 16']","['Projekt 44', 'Projekt 33']",Schreiben,"{""C"":""Anfänger"",""C++"":""Anfänger"",""C#"":""Anfänger"",""Java"":""Anfänger"",""JavaScript"":""Fortgeschritten"",""PHP"":""Anfänger""}"
1,Firstname,Name,"['Projekt 53', 'Projekt 2', 'Projekt 55']","['Projekt 49', 'Projekt 5']",Programmieren,"{""C++"":""Experte"",""HTML/CSS"":""Experte"",""Python"":""Anfänger""}"
2,Firstname,Name,"['Projekt 1', 'Projekt 35', 'Projekt 15']","['Projekt 7', 'Projekt 51']",Programmieren,"{""C"":""Fortgeschritten"",""C++"":""Experte"",""Java"":""Experte"",""HTML/CSS"":""Experte"",""Python"":""Fortgeschritten"",""JavaScript"":""Fortgeschritten"",""PHP"":""Fortgeschritten""}"
3,Firstname,Name,"['Projekt 28', 'Projekt 44', 'Projekt 5']","['Projekt 54', 'Projekt 24']",Schreiben,"{""C"":""Experte"",""C++"":""Experte"",""JavaScript"":""Anfänger"",""PHP"":""Anfänger""}"
4,Firstname,Name,"['Projekt 24', 'Projekt 30', 'Projekt 55']","['Projekt 58', 'Projekt 59']",Programmieren,"{""C"":""Anfänger"",""C#"":""Experte"",""Java"":""Fortgeschritten"",""HTML/CSS"":""Experte"",""Python"":""Experte"",""JavaScript"":""Anfänger"",""PHP"":""Experte""}"
5,Firstname,Name,"['Projekt 53', 'Projekt 7', 'Projekt 46']","['Projekt 9', 'Projekt 31']",Programmieren,"{""C#"":""Anfänger"",""Java"":""Fortgeschritten"",""HTML/CSS"":""Fortgeschritten"",""Python"":""Fortgeschritten"",""JavaScript"":""Anfänger"",""PHP"":""Experte""}"
6,Firstname,Name,"['Projekt 39', 'Projekt 24', 'Projekt 20']","['Projekt 19', 'Projekt 58']",Schreiben,"{""C"":""Experte"",""C++"":""Anfänger"",""C#"":""Experte"",""Java"":""Anfänger"",""HTML/CSS"":""Experte"",""JavaScript"":""Experte"",""PHP"":""Anfänger""}"
7,Firstname,Name,"['Projekt 44', 'Projekt 33', 'Projekt 51']","['Projekt 5', 'Projekt 9']",Programmieren,"{""Java"":""Anfänger"",""HTML/CSS"":""Fortgeschritten"",""Python"":""Fortgeschritten"",""JavaScript"":""Fortgeschritten"",""PHP"":""Fortgeschritten""}"
8,Firstname,Name,"['Projekt 57', 'Projekt 34', 'Projekt 14']","['Projekt 3', 'Projekt 2']",Programmieren,"{""C#"":""Fortgeschritten"",""Java"":""Fortgeschritten"",""PHP"":""Anfänger""}"
9,Firstname,Name,"['Projekt 39', 'Projekt 28', 'Projekt 54']","['Projekt 3', 'Projekt 42']",Schreiben,"{""C"":""Anfänger"",""C++"":""Anfänger"",""C#"":""Anfänger"",""Java"":""Experte"",""HTML/CSS"":""Anfänger"",""Python"":""Experte"",""JavaScript"":""Experte"",""PHP"":""Anfänger""}"
10,Firstname,Name,"['Projekt 48', 'Projekt 1', 'Projekt 4']","['Projekt 38', 'Projekt 8']",Schreiben,"{""C++"":""Fortgeschritten"",""C#"":""Fortgeschritten"",""Java"":""Anfänger"",""Python"":""Anfänger"",""JavaScript"":""Experte"",""PHP"":""Anfänger""}"
11,Firstname,Name,"['Projekt 33', 'Projekt 57', 'Projekt 3']","['Projekt 50', 'Projekt 59']",Programmieren,"{""C"":""Anfänger"",""C++"":""Fortgeschritten"",""Java"":""Experte"",""Python"":""Anfänger"",""JavaScript"":""Anfänger"",""PHP"":""Anfänger""}"
12,Firstname,Name,"['Projekt 24', 'Projekt 38', 'Projekt 55']","['Projekt 1', 'Projekt 50']",Programmieren,"{""C++"":""Experte"",""C#"":""Experte"",""Java"":""Anfänger"",""HTML/CSS"":""Fortgeschritten"",""JavaScript"":""Anfänger"",""PHP"":""Fortgeschritten""}"
13,Firstname,Name,"['Projekt 9', 'Projekt 34', 'Projekt 15']","['Projekt 27', 'Projekt 45']",Programmieren,"{""C"":""Fortgeschritten"",""C#"":""Fortgeschritten"",""Java"":""Anfänger"",""Python"":""Anfänger""}"
14,Firstname,Name,"['Projekt 33', 'Projekt 11', 'Projekt 8']","['Projekt 54', 'Projekt 36']",Schreiben,"{""C++"":""Anfänger"",""C#"":""Fortgeschritten"",""Java"":""Experte"",""HTML/CSS"":""Anfänger"",""Python"":""Experte"",""PHP"":""Fortgeschritten""}"
15,Firstname,Name,"['Projekt 55', 'Projekt 30', 'Projekt 23']","['Projekt 44', 'Projekt 2']",Programmieren,"{""C"":""Anfänger"",""C++"":""Experte"",""Java"":""Experte"",""HTML/CSS"":""Fortgeschritten"",""Python"":""Anfänger"",""JavaScript"":""Fortgeschritten""}"
16,Firstname,Name,"['Projekt 59', 'Projekt 13', 'Projekt 47']","['Projekt 54', 'Projekt 26']",Programmieren,"{""C++"":""Fortgeschritten"",""C#"":""Experte"",""Java"":""Anfänger"",""HTML/CSS"":""Anfänger"",""Python"":""Experte"",""JavaScript"":""Fortgeschritten"",""PHP"":""Fortgeschritten""}"
17,Firstname,Name,"['Projekt 2', 'Projekt 10', 'Projekt 48']","['Projekt 30', 'Projekt 25']",Programmieren,"{""C"":""Anfänger"",""C++"":""Experte"",""C#"":""Fortgeschritten"",""Java"":""Fortgeschritten"",""HTML/CSS"":""Anfänger"",""Python"":""Experte"",""JavaScript"":""Anfänger""}"
18,Firstname,Name,"['Projekt 40', 'Projekt 43', 'Projekt 33']","['Projekt 54', 'Projekt 7']",Schreiben,"{""C++"":""Fortgeschritten"",""C#"":""Anfänger"",""Java"":""Fortgeschritten"",""HTML/CSS"":""Fortgeschritten"",""Python"":""Experte"",""JavaScript"":""Anfänger"",""PHP"":""Fortgeschritten""}"
19,Firstname,Name,"['Projekt 42', 'Projekt 27', 'Projekt 6']","['Projekt 28', 'Projekt 20']",Schreiben,"{""C"":""Anfänger"",""C#"":""Anfänger"",""Java"":""Experte"",""HTML/CSS"":""Experte"",""Python"":""Anfänger"",""JavaScript"":""Anfänger"",""PHP"":""Anfänger""}"
20,Firstname,Name,"['Projekt 58', 'Projekt 52', 'Projekt 27']","['Projekt 49', 'Projekt 12']",Programmieren,"{""C"":""Experte"",""C#"":""Anfänger"",""Java"":""Fortgeschritten"",""Python"":""Fortgeschritten"",""JavaScript"":""Anfänger"",""PHP"":""Experte""}"
